Treads,time_seconds,Time,Energy,CO2eq,travelled
2,481.62,0:08:06,0.0158,2.2378,0.0208
4,271.38,0:04:34,0.0098,1.3875,0.0129
6,193.65,0:03:15,0.0077,1.0871,0.0101
8,150.05,0:02:31,0.0067,0.9474,0.0088
10,124.10,0:02:05,0.0062,0.8728,0.0081
12,105.83,0:01:47,0.0065,0.9280,0.0086
14,93.00,0:01:34,0.0062,0.8727,0.0081
16,79.62,0:01:20,0.0057,0.8058,0.0075
18,74.45,0:01:15,0.0056,0.7950,0.0074
20,64.84,0:01:05,0.0053,0.7447,0.0069
22,97.85,0:01:39,0.0066,0.9321,0.0087
24,87.41,0:01:28,0.0060,0.8569,0.0080
26,89.95,0:01:31,0.0062,0.8820,0.0082
28,77.60,0:01:18,0.0058,0.8208,0.0076
30,79.80,0:01:21,0.0058,0.8270,0.0077
32,72.49,0:01:13,0.0056,0.7986,0.0074
34,70.83,0:01:11,0.0056,0.7997,0.0074
36,65.19,0:01:06,0.0053,0.7583,0.0071
38,64.72,0:01:05,0.0054,0.7672,0.0071
40,57.70,0:00:58,0.0051,0.7262,0.0068
